Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Vision,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6795b163068749e5341daec9,65071280eb0514789a82168e,AWAITING REVIEW,Not Applicable,2025-01-26T03:53:02.931000Z,2025-01-26T04:05:07.507000Z,,2025-01-26T04:05:08.099452Z,725,CYBX6B9B,84,"Chinese, English",Yes,"No, I have no issues seeing colours",20,Male,Asian,Canada,Canada,Canada,Chinese,DATA_EXPIRED,DATA_EXPIRED
6795b2c0cfbe573122366ff3,660b514d7b8f3638359eb4f9,AWAITING REVIEW,Not Applicable,2025-01-26T03:57:57.469000Z,2025-01-26T04:24:40.935000Z,,2025-01-26T04:24:41.542593Z,1604,CYBX6B9B,60,English,Yes,"No, I have no issues seeing colours",29,Male,White,United States,United States,United States,English,No,Full-Time
6795b38718d0c7abca526f4d,6107fa36cbeb6206ac22ad83,AWAITING REVIEW,Not Applicable,2025-01-26T04:01:20.602000Z,2025-01-26T04:15:18.451000Z,,2025-01-26T04:15:19.049859Z,838,CYBX6B9B,88,English,Yes,"No, I have no issues seeing colours",31,Female,White,Canada,Canada,Canada,English,No,Full-Time
6795b3a1e05e3f53cce677f6,66e8d8347bc96f8591ee02e2,AWAITING REVIEW,Not Applicable,2025-01-26T04:01:41.015000Z,2025-01-26T04:14:11.847000Z,,2025-01-26T04:14:12.569705Z,751,CYBX6B9B,221,English,Yes,"No, I have no issues seeing colours",25,Male,White,United States,United States,United States,English,No,Full-Time
6795b473182829e1b104c5dd,66989959a9a6e990d72c7a91,AWAITING REVIEW,Not Applicable,2025-01-26T04:05:07.191000Z,2025-01-26T04:20:37.449000Z,,2025-01-26T04:20:38.103729Z,931,CYBX6B9B,181,"English, Tamil",Yes,"No, I have no issues seeing colours",27,Female,Asian,India,Canada,India,Tamil,No,Full-Time
6795b4ec21c85969179232d2,6673562010e3e884be2d6840,AWAITING REVIEW,Not Applicable,2025-01-26T04:07:14.487000Z,2025-01-26T04:19:53.335000Z,,2025-01-26T04:19:54.027775Z,759,CYBX6B9B,62,English,Yes,"No, I have no issues seeing colours",27,Female,White,United States,United States,United States,English,No,Other
6795b51d4d25a5ab8da22add,67259cdd7e3f29e439a42d6f,AWAITING REVIEW,Not Applicable,2025-01-26T04:07:57.482000Z,2025-01-26T04:18:51.517000Z,,2025-01-26T04:18:52.151990Z,655,CYBX6B9B,55,"Chinese, English",Yes,"No, I have no issues seeing colours",20,Male,Asian,China,Canada,China,Chinese,Yes,Other
6795b6c60737720a71644d92,5ddc2f1f45fb05b81ca70344,AWAITING REVIEW,Not Applicable,2025-01-26T04:15:40.707000Z,2025-01-26T04:33:31.313000Z,,2025-01-26T04:33:31.930943Z,1071,CYBX6B9B,424,English,Yes,"No, I have no issues seeing colours",51,Female,White,Australia,New Zealand,New Zealand,English,No,Part-Time
6795b76ce05e3f53cce67889,656cc7681d5849114cadd3d8,AWAITING REVIEW,Not Applicable,2025-01-26T04:18:26.387000Z,2025-01-26T04:32:15.423000Z,,2025-01-26T04:32:15.936203Z,830,CYBX6B9B,98,English,Yes,"No, I have no issues seeing colours",38,Male,White,Canada,Canada,Canada,English,No,DATA_EXPIRED
6795b7a313b1264222c7be67,62d76df137345826d19ca256,AWAITING REVIEW,Not Applicable,2025-01-26T04:19:00.292000Z,2025-01-26T04:33:16.723000Z,,2025-01-26T04:33:17.441165Z,857,CYBX6B9B,2306,English,Yes,"No, I have no issues seeing colours",34,Male,White,United States,United States,United States,English,No,Full-Time
6795b7cae7c7efe32d04c63d,5eac84ff4efbe80ffd3962f1,AWAITING REVIEW,Not Applicable,2025-01-26T04:19:22.236000Z,2025-01-26T04:33:27.344000Z,,2025-01-26T04:33:28.899665Z,846,CYBX6B9B,1007,"English, Spanish",Yes,"No, I have no issues seeing colours",38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6795b8398f4718c064494fb0,668d4f33fdba135be3c74ed8,AWAITING REVIEW,Not Applicable,2025-01-26T04:22:49.191000Z,2025-01-26T04:37:19.939000Z,,2025-01-26T04:37:20.578648Z,871,CYBX6B9B,242,"English, Telugu",Yes,"No, I have no issues seeing colours",31,Male,Asian,India,Canada,India,Telugu,No,Full-Time
6795b878c51089069e526eea,65595aaabe1790ca0d744fbc,AWAITING REVIEW,Not Applicable,2025-01-26T04:22:16.432000Z,2025-01-26T04:34:52.751000Z,,2025-01-26T04:34:53.467265Z,757,CYBX6B9B,588,English,Yes,"No, I have no issues seeing colours",21,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
6795b8ae0737720a71644de3,656013477ede6fae3cc2728b,AWAITING REVIEW,Not Applicable,2025-01-26T04:23:10.127000Z,2025-01-26T04:36:38.426000Z,,2025-01-26T04:36:39.134556Z,809,CYBX6B9B,178,English,Yes,"No, I have no issues seeing colours",22,Female,Asian,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
